object_id	name	taxonomy
17645	ACCESORIOS DE BAÑO	product_cat
17669	ACCESORIOS DE BAÑO	product_cat
17670	ACCESORIOS DE BAÑO	product_cat
17671	ACCESORIOS DE BAÑO	product_cat
17783	ACCESORIOS DE BAÑO	product_cat
17810	ACCESORIOS DE BAÑO	product_cat
17981	ACCESORIOS DE BAÑO	product_cat
18023	ACCESORIOS DE BAÑO	product_cat
18176	ACCESORIOS DE BAÑO	product_cat
18183	ACCESORIOS DE BAÑO	product_cat
18489	ACCESORIOS DE BAÑO	product_cat
18541	ACCESORIOS DE BAÑO	product_cat
18542	ACCESORIOS DE BAÑO	product_cat
18603	ACCESORIOS DE BAÑO	product_cat
18789	ACCESORIOS DE BAÑO	product_cat
18791	ACCESORIOS DE BAÑO	product_cat
18836	ACCESORIOS DE BAÑO	product_cat
18985	ACCESORIOS DE BAÑO	product_cat
18990	ACCESORIOS DE BAÑO	product_cat
19011	ACCESORIOS DE BAÑO	product_cat
19031	ACCESORIOS DE BAÑO	product_cat
19032	ACCESORIOS DE BAÑO	product_cat
19033	ACCESORIOS DE BAÑO	product_cat
19034	ACCESORIOS DE BAÑO	product_cat
19035	ACCESORIOS DE BAÑO	product_cat
19036	ACCESORIOS DE BAÑO	product_cat
19037	ACCESORIOS DE BAÑO	product_cat
19038	ACCESORIOS DE BAÑO	product_cat
19047	ACCESORIOS DE BAÑO	product_cat
19050	ACCESORIOS DE BAÑO	product_cat
19079	ACCESORIOS DE BAÑO	product_cat
19107	ACCESORIOS DE BAÑO	product_cat
19108	ACCESORIOS DE BAÑO	product_cat
19124	ACCESORIOS DE BAÑO	product_cat
19127	ACCESORIOS DE BAÑO	product_cat
19128	ACCESORIOS DE BAÑO	product_cat
19129	ACCESORIOS DE BAÑO	product_cat
19132	ACCESORIOS DE BAÑO	product_cat
19142	ACCESORIOS DE BAÑO	product_cat
6355	LUBRICANTES	product_cat
6359	LUBRICANTES	product_cat
7416	LUBRICANTES	product_cat
7414	LUBRICANTES	product_cat
7784	LUBRICANTES	product_cat
8041	LUBRICANTES	product_cat
10000	LUBRICANTES	product_cat
4641	LUBRICANTES	product_cat
5027	LUBRICANTES	product_cat
10375	LUBRICANTES	product_cat
11379	LUBRICANTES	product_cat
11600	LUBRICANTES	product_cat
12560	LUBRICANTES	product_cat
14259	LUBRICANTES	product_cat
15335	LUBRICANTES	product_cat
16904	LUBRICANTES	product_cat
17168	LUBRICANTES	product_cat
17512	LUBRICANTES	product_cat
17721	LUBRICANTES	product_cat
17758	LUBRICANTES	product_cat
17955	LUBRICANTES	product_cat
18866	LUBRICANTES	product_cat
19087	LUBRICANTES	product_cat
19089	LUBRICANTES	product_cat
7312	ORBI	product_brand
7315	ORBI	product_brand
7356	ORBI	product_brand
7373	ORBI	product_brand
15755	ORBI	product_brand
7312	ESTETICA AUTOMOTRIZ	product_cat
7349	ESTETICA AUTOMOTRIZ	product_cat
7360	ESTETICA AUTOMOTRIZ	product_cat
7362	ESTETICA AUTOMOTRIZ	product_cat
7367	ESTETICA AUTOMOTRIZ	product_cat
7373	ESTETICA AUTOMOTRIZ	product_cat
7382	ESTETICA AUTOMOTRIZ	product_cat
7392	ESTETICA AUTOMOTRIZ	product_cat
7394	ESTETICA AUTOMOTRIZ	product_cat
